wdpaid,name,status_yr,patype
43,Rio Trombetas,1979,SP
44,Jarú,1979,SP
53,Jaú,1980,SP
54,Pico da Neblina,1979,SP
55,Amazônia,1974,SP
56,Pacaás Novos,1979,SP
61,Lençóis Maranhenses,1981,SP
2215,Anavilhanas,1981,SP
2219,Maracá-Jipioca,1981,SP
2222,Rio Acre,1981,SP
4891,Jari,1982,SP
5126,Guaporé,1982,SP
5127,Abufari,1982,SP
6074,Tapirapé,1989,SP
10795,Gurupi,1988,SP
10802,Tapajós,1974,SU
10803,Caxiuaná,1961,SU
10815,Jamari,1984,SU
10826,Niquiá,1985,SP
10830,Juami-Japurá,1985,SP
10845,Jutaí-Solimoes,1983,SP
19275,Serra do Divisor,1989,SP
19505,Koatinemo,2003,IT
19506,Kararaô,1999,IT
19745,Amapá,1989,SU
19746,Purus,1988,SU
19747,Tefé,1989,SU
19759,Bom Futuro,1988,SU
19769,Mamirauá,1996,SU
31752,Uatumá,1990,SP
31759,Amazonas,1989,SU
31763,Mapiá-Inauini,1989,SU
31769,Saracá Taquera,1989,SU
31770,Tapirapé-Aquiri,1989,SU
31774,Alto Juruá,1990,SU
31775,Chico Mendes,1990,SU
31776,Rio Cajari,1990,SU
31777,Rio Ouro Preto,1990,SU
33520,Nhamundá,1989,SP
33521,Serra do Araçá,1990,SP
33608,Samuel,1989,SP
33609,Serra dos Três Irmãos,1990,SP
33610,Traçadal,1990,SP
33611,Rio Ouro Preto,1990,SP
33612,Guajará Mirim,1990,SP
33617,Serra dos Reis,1995,SP
33704,Rio Vermelho B,1990,SU
33705,Rio Vermelho C,1990,SU
33707,Rio Madeira A,1990,SU
33708,Rio Machado,1990,SU
33712,Rio Roosevelt,1999,SP
33714,Rio Preto/Jacundá,1996,SU
33716,Rio Pacaás Novos,1995,SU
33723,Nukini,1986,IT
33724,Poyanawa,2002,IT
33725,Jaminawa do Igarapé Preto,1999,IT
33727,Jaminawa Arara do Rio Bagé,1977,IT
33728,Kaxinawá da Praia do Carapanã,2002,IT
33729,Kampa do Rio Amonea,1995,IT
33730,Kaxinawá Ashaninka do Rio Breu,2002,IT
33731,Kaxinawá do Rio Jordão,1996,IT
33732,Alto Tarauacá,2004,IT
33733,Kampa e Isolados do Rio Envira,1999,IT
33734,Kaxinawá do Rio Humaitá,1996,IT
33736,Arara do Igarapé Humaitá,2005,IT
33738,Rio Gregório,1983,IT
33739,Kaxinawá Colônia Vinte e Sete,1996,IT
33741,Igarapé do Caucho,1998,IT
33743,Kulina Igarapé do Pau,2001,IT
